LOCATION CODE,COUNTY,AREA NAME,REGION,SCHOOL YEARS,NO. OVERWEIGHT,PCT OVERWEIGHT,NO. OBESE,PCT OBESE,NO. OVERWEIGHT OR OBESE,PCT OVERWEIGHT OR OBESE,GRADE LEVEL,AREA TYPE,STREET ADDRESS,CITY,STATE,ZIP CODE,LATITUDE,LONGITUDE,Location 1
000011,CORTLAND,CORTLAND,CENTRAL NEW YORK,2012-2014,137,16%,198,23.1%,335,39.1%,MIDDLE/HIGH,COUNTY,,,,,,,
000012,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2012-2014,329,18.4%,344,19.3%,673,37.7%,DISTRICT TOTAL,COUNTY,,,,,,,
000012,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2012-2014,206,18.2%,202,17.9%,408,36.1%,ELEMENTARY,COUNTY,,,,,,,
000012,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2012-2014,124,19.3%,131,20.3%,255,39.6%,MIDDLE/HIGH,COUNTY,,,,,,,
000013,DUTCHESS,DUTCHESS,HUDSON VALLEY,2012-2014,2091,16.4%,2302,18%,4393,34.4%,DISTRICT TOTAL,COUNTY,,,,,,,
000013,DUTCHESS,DUTCHESS,HUDSON VALLEY,2012-2014,1156,15.7%,1266,17.2%,2422,32.9%,ELEMENTARY,COUNTY,,,,,,,
000013,DUTCHESS,DUTCHESS,HUDSON VALLEY,2012-2014,933,17.3%,1034,19.2%,1967,36.5%,MIDDLE/HIGH,COUNTY,,,,,,,
000014,ERIE,ERIE,WESTERN NEW YORK,2012-2014,5623,16.5%,5250,15.4%,10873,31.9%,DISTRICT TOTAL,COUNTY,,,,,,,
000014,ERIE,ERIE,WESTERN NEW YORK,2012-2014,3086,15.5%,2730,13.7%,5816,29.3%,ELEMENTARY,COUNTY,,,,,,,
000014,ERIE,ERIE,WESTERN NEW YORK,2012-2014,2537,18%,2495,17.7%,5032,35.6%,MIDDLE/HIGH,COUNTY,,,,,,,
000015,ESSEX,ESSEX,NORTHEASTERN NEW YORK,2012-2014,242,17.1%,272,19.2%,514,36.4%,DISTRICT TOTAL,COUNTY,,,,,,,
000015,ESSEX,ESSEX,NORTHEASTERN NEW YORK,2012-2014,94,12.8%,130,17.7%,224,30.6%,ELEMENTARY,COUNTY,,,,,,,
000015,ESSEX,ESSEX,NORTHEASTERN NEW YORK,2012-2014,101,19.5%,98,18.9%,199,38.3%,MIDDLE/HIGH,COUNTY,,,,,,,
000016,FRANKLIN,FRANKLIN,NORTHEASTERN NEW YORK,2012-2014,461,18.3%,566,22.5%,1027,40.8%,DISTRICT TOTAL,COUNTY,,,,,,,
000016,FRANKLIN,FRANKLIN,NORTHEASTERN NEW YORK,2012-2014,283,18.2%,320,20.5%,603,38.7%,ELEMENTARY,COUNTY,,,,,,,
000016,FRANKLIN,FRANKLIN,NORTHEASTERN NEW YORK,2012-2014,178,18.7%,245,25.7%,423,44.4%,MIDDLE/HIGH,COUNTY,,,,,,,
000017,FULTON,FULTON,NORTHEASTERN NEW YORK,2012-2014,288,15.7%,357,19.5%,645,35.3%,DISTRICT TOTAL,COUNTY,,,,,,,
000017,FULTON,FULTON,NORTHEASTERN NEW YORK,2012-2014,165,14.6%,199,17.6%,364,32.1%,ELEMENTARY,COUNTY,,,,,,,
000017,FULTON,FULTON,NORTHEASTERN NEW YORK,2012-2014,116,18.3%,130,20.5%,246,38.7%,MIDDLE/HIGH,COUNTY,,,,,,,
000018,GENESEE,GENESEE,WESTERN NEW YORK,2012-2014,496,17.7%,495,17.7%,991,35.4%,DISTRICT TOTAL,COUNTY,,,,,,,
000018,GENESEE,GENESEE,WESTERN NEW YORK,2012-2014,298,17.7%,279,16.5%,577,34.2%,ELEMENTARY,COUNTY,,,,,,,
000018,GENESEE,GENESEE,WESTERN NEW YORK,2012-2014,195,17.3%,216,19.1%,411,36.4%,MIDDLE/HIGH,COUNTY,,,,,,,
000019,GREENE,GREENE,NORTHEASTERN NEW YORK,2012-2014,325,16.7%,404,20.8%,729,37.5%,DISTRICT TOTAL,COUNTY,,,,,,,
000019,GREENE,GREENE,NORTHEASTERN NEW YORK,2012-2014,184,16.1%,220,19.2%,404,35.3%,ELEMENTARY,COUNTY,,,,,,,
000019,GREENE,GREENE,NORTHEASTERN NEW YORK,2012-2014,140,17.7%,180,22.7%,320,40.4%,MIDDLE/HIGH,COUNTY,,,,,,,
000020,HAMILTON,HAMILTON,NORTHEASTERN NEW YORK,2012-2014,30,18.3%,30,18.3%,60,36.6%,DISTRICT TOTAL,COUNTY,,,,,,,
000020,HAMILTON,HAMILTON,NORTHEASTERN NEW YORK,2012-2014,7,17.9%,5,12.8%,12,30.8%,ELEMENTARY,COUNTY,,,,,,,
000020,HAMILTON,HAMILTON,NORTHEASTERN NEW YORK,2012-2014,,,6,54.5%,6,54.5%,MIDDLE/HIGH,COUNTY,,,,,,,
000021,HERKIMER,HERKIMER,CENTRAL NEW YORK,2012-2014,549,18.6%,490,16.6%,1039,35.2%,DISTRICT TOTAL,COUNTY,,,,,,,
000021,HERKIMER,HERKIMER,CENTRAL NEW YORK,2012-2014,286,16.4%,266,15.2%,552,31.6%,ELEMENTARY,COUNTY,,,,,,,
000021,HERKIMER,HERKIMER,CENTRAL NEW YORK,2012-2014,233,20.6%,208,18.4%,441,39%,MIDDLE/HIGH,COUNTY,,,,,,,
000022,JEFFERSON,JEFFERSON,CENTRAL NEW YORK,2012-2014,1170,18.5%,1247,19.7%,2417,38.2%,DISTRICT TOTAL,COUNTY,,,,,,,
000022,JEFFERSON,JEFFERSON,CENTRAL NEW YORK,2012-2014,788,18.6%,786,18.5%,1574,37.1%,ELEMENTARY,COUNTY,,,,,,,
000022,JEFFERSON,JEFFERSON,CENTRAL NEW YORK,2012-2014,375,18.1%,454,22%,829,40.1%,MIDDLE/HIGH,COUNTY,,,,,,,
000023,LEWIS,LEWIS,CENTRAL NEW YORK,2012-2014,261,17.9%,331,22.6%,592,40.5%,DISTRICT TOTAL,COUNTY,,,,,,,
000023,LEWIS,LEWIS,CENTRAL NEW YORK,2012-2014,152,17.3%,195,22.2%,347,39.5%,ELEMENTARY,COUNTY,,,,,,,
000023,LEWIS,LEWIS,CENTRAL NEW YORK,2012-2014,106,18.8%,130,23%,236,41.8%,MIDDLE/HIGH,COUNTY,,,,,,,
000024,LIVINGSTON,LIVINGSTON,FINGER LAKES,2012-2014,496,18.4%,514,19.1%,1010,37.5%,DISTRICT TOTAL,COUNTY,,,,,,,
000024,LIVINGSTON,LIVINGSTON,FINGER LAKES,2012-2014,279,18.7%,266,17.8%,545,36.5%,ELEMENTARY,COUNTY,,,,,,,
000024,LIVINGSTON,LIVINGSTON,FINGER LAKES,2012-2014,214,18.4%,242,20.8%,456,39.1%,MIDDLE/HIGH,COUNTY,,,,,,,
000025,MADISON,MADISON,CENTRAL NEW YORK,2012-2014,564,15.9%,681,19.2%,1245,35.1%,DISTRICT TOTAL,COUNTY,,,,,,,
000025,MADISON,MADISON,CENTRAL NEW YORK,2012-2014,302,16.3%,303,16.4%,605,32.7%,ELEMENTARY,COUNTY,,,,,,,
